Number,Measure,Preamble,Question,Options,ReverseCoded,OriginalNumber,id
0,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",1. My heart beats fast.,"Not at all,A little,Moderately,Very much so",0,1,sticsa_s.1
1,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",2. My muscles are tense.,"Not at all,A little,Moderately,Very much so",0,2,sticsa_s.2
2,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",3. I feel agonized over my problems.,"Not at all,A little,Moderately,Very much so",0,3,sticsa_s.3
3,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",4. I think that others won't approve of me.,"Not at all,A little,Moderately,Very much so",0,4,sticsa_s.4
4,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",5. I feel like I'm missing out on things because I can't make up my mind soon enough.,"Not at all,A little,Moderately,Very much so",0,5,sticsa_s.5
5,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",6. I feel dizzy.,"Not at all,A little,Moderately,Very much so",0,6,sticsa_s.6
6,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",7. My muscles feel weak.,"Not at all,A little,Moderately,Very much so",0,7,sticsa_s.7
7,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",8. I feel trembly and shaky.,"Not at all,A little,Moderately,Very much so",0,8,sticsa_s.8
8,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",9. I picture some future misfortune.,"Not at all,A little,Moderately,Very much so",0,9,sticsa_s.9
9,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",10. I can't get some thought out of my mind.,"Not at all,A little,Moderately,Very much so",0,10,sticsa_s.10
10,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",11. I have trouble remembering things.,"Not at all,A little,Moderately,Very much so",0,11,sticsa_s.11
11,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",12. My face feels hot.,"Not at all,A little,Moderately,Very much so",0,12,sticsa_s.12
12,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",13. I think that the worst will happen.,"Not at all,A little,Moderately,Very much so",0,13,sticsa_s.13
13,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",14. My arms and legs feel stiff.,"Not at all,A little,Moderately,Very much so",0,14,sticsa_s.14
14,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",15. My throat feels dry.,"Not at all,A little,Moderately,Very much so",0,15,sticsa_s.15
15,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",16. I keep busy to avoid uncomfortable thoughts.,"Not at all,A little,Moderately,Very much so",0,16,sticsa_s.16
16,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",17. I cannot concentrate without irrelevant thoughts intruding.,"Not at all,A little,Moderately,Very much so",0,17,sticsa_s.17
17,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",18. My breathing is fast and shallow.,"Not at all,A little,Moderately,Very much so",0,18,sticsa_s.18
18,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",19. I worry that I cannot control my thoughts as well as I would like to.,"Not at all,A little,Moderately,Very much so",0,19,sticsa_s.19
19,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",20. I have butterflies in the stomach.,"Not at all,A little,Moderately,Very much so",0,20,sticsa_s.20
20,STICSA_S,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate the degree with which each statement is self-descriptive of mood <span class='bold_text'>at this moment</span> (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how you feel <span class='bold_text'>right now, at this very moment</span>, even if this is not how you usually feel.",21. My palms feel clammy.,"Not at all,A little,Moderately,Very much so",0,21,sticsa_s.21
21,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",1. My heart beats fast.,"Not at all,A little,Moderately,Very much so",0,1,sticsa_t.1
22,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",2. My muscles are tense.,"Not at all,A little,Moderately,Very much so",0,2,sticsa_t.2
23,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",3. I feel agonized over my problems.,"Not at all,A little,Moderately,Very much so",0,3,sticsa_t.3
